Date,Dividends
1972-06-05,0.00463
1972-09-01,0.00463
1972-12-04,0.00463
1973-03-05,0.005
1973-06-04,0.005
1973-08-31,0.005556
1973-12-04,0.005556
1974-03-05,0.005556
1974-06-03,0.005556
1974-09-03,0.006481
1974-12-04,0.006481
1975-03-04,0.006481
1975-06-03,0.006481
1975-09-03,0.007407
1975-12-04,0.007407
1976-03-04,0.007407
1976-06-03,0.009259
1976-09-02,0.009259
1976-12-06,0.009259
1977-03-04,0.011111
1977-06-03,0.011111
1977-09-02,0.011111
1977-12-05,0.0125
1978-03-06,0.0125
1978-06-05,0.013889
1978-09-01,0.013889
1978-12-04,0.013889
1979-03-05,0.013889
1979-06-04,0.015833
1979-09-10,0.015833
1979-12-10,0.015833
1980-03-10,0.015833
1980-06-09,0.018056
1980-09-08,0.018056
1980-12-08,0.018056
1981-03-09,0.018056
1981-06-08,0.020278
1981-09-04,0.020278
1981-12-07,0.020278
1982-03-08,0.020278
1982-06-07,0.0225
1982-09-03,0.0225
1982-12-06,0.0225
1983-03-07,0.0225
1983-06-06,0.0225
1983-09-02,0.0225
1983-12-05,0.0225
1984-03-05,0.0225
1984-06-04,0.023333
1984-09-10,0.023333
1984-12-10,0.023333
1985-03-04,0.023333
1985-06-10,0.024722
1985-09-09,0.024722
1985-12-09,0.024749445
1986-03-10,0.024749445
1986-06-09,0.026726667
1986-09-08,0.026726667
1986-12-08,0.026726667
1987-03-09,0.026726667
1987-06-08,0.028328333
1987-09-04,0.028328333
1987-12-07,0.028328333
1988-03-07,0.028328333
1988-06-06,0.035035
1988-09-02,0.035035
1988-12-05,0.035035
1989-03-06,0.035035
1989-06-05,0.041741665
1989-09-01,0.041741665
1989-12-04,0.041741665
1990-03-05,0.041741665
1990-06-04,0.05005
1990-09-10,0.05
1990-12-10,0.05
1991-03-04,0.05
1991-06-10,0.06
1991-09-09,0.06
1991-12-09,0.06
1992-03-09,0.06
1992-06-08,0.065
1992-09-04,0.065
1992-12-07,0.065
1993-03-08,0.065
1993-06-07,0.08
1993-09-03,0.08
1993-12-06,0.08
1994-03-07,0.08
1994-06-06,0.09
1994-09-02,0.09
1994-12-05,0.09
1995-03-06,0.09
1995-06-06,0.1
1995-09-06,0.1
1995-12-06,0.1
1996-03-06,0.1
1996-06-05,0.115
1996-09-04,0.115
1996-12-04,0.115
1997-03-12,0.115
1997-06-11,0.125
1997-09-17,0.125
1997-10-07,3.2
1997-12-10,0.125
1998-03-11,0.125
1998-06-10,0.13
1998-09-09,0.13
1998-12-09,0.13
1999-03-10,0.13
1999-06-09,0.135
1999-09-08,0.135
1999-12-08,0.135
2000-03-08,0.135
2000-06-07,0.14
2000-09-06,0.14
2000-12-06,0.14
2001-03-07,0.14
2001-06-06,0.145
2001-09-05,0.145
2001-12-05,0.145
2002-03-06,0.145
2002-06-05,0.15
2002-09-04,0.15
2002-12-04,0.15
2003-03-12,0.15
2003-06-11,0.16
2003-09-10,0.16
2003-12-10,0.16
2004-03-10,0.16
2004-06-09,0.23
2004-09-08,0.23
2004-12-08,0.23
2005-03-09,0.23
2005-06-08,0.26
2005-09-07,0.26
2005-12-07,0.26
2006-03-08,0.26
2006-06-07,0.3
2006-09-06,0.3
2006-12-06,0.3
2007-03-07,0.3
2007-06-06,0.375
2007-09-05,0.375
2007-12-05,0.375
2008-03-05,0.375
2008-06-04,0.425
2008-09-03,0.425
2008-12-03,0.425
2009-03-04,0.425
2009-06-03,0.45
2009-09-02,0.45
2009-12-02,0.45
2010-03-03,0.45
2010-06-02,0.48
2010-09-01,0.48
2010-12-01,0.48
2011-03-02,0.48
2011-06-01,0.515
2011-08-31,0.515
2011-11-30,0.515
2012-02-29,0.515
2012-05-30,0.5375
2012-09-05,0.5375
2012-12-05,0.5375
2013-02-27,0.5375
2013-06-05,0.5675
2013-09-04,0.5675
2013-12-04,0.5675
2014-03-05,0.5675
2014-06-04,0.655
2014-09-03,0.655
2014-12-03,0.655
2015-03-04,0.655
2015-06-03,0.7025
2015-09-02,0.7025
2015-12-02,0.7025
2016-03-02,0.7025
2016-06-01,0.7525
2016-08-31,0.7525
2016-11-30,0.7525
2017-03-01,0.7525
2017-05-31,0.805
2017-08-30,0.805
2017-11-30,0.805
2018-03-01,0.805
2018-05-31,0.9275
2018-09-06,0.9275
2018-12-06,0.9275
2019-02-28,0.9275
2019-06-06,0.955
2019-09-05,0.955
2019-12-05,0.955
2020-03-05,0.955
2020-06-04,1.0225
2020-09-03,1.0225
2020-12-03,1.0225
2021-03-04,1.0225
2021-06-03,1.075
2021-09-02,1.075
2021-12-02,1.075
2022-03-03,1.075
